,name,label
486,Cusco turu,ACTIVITY
487,Cusco şehir turu,ACTIVITY
488,Córdoba,CITY
489,Córdoba,HIGHLIGHT
490,DANİMARKA & NORVEÇ TURU 18 – 25 AĞUSTOS 2025,TRIP
491,DISHOOM,RESTAURANT
492,Da Giacomo,RESTAURANT
493,Dali Müzesi ziyareti,ACTIVITY
494,Damat Ali Paşa Türbesi,ACTIVITY
495,Damnoen Saduak yüzen pazar ziyareti (Bangkok),ACTIVITY
496,Danang,CITY
497,Danang,HIGHLIGHT
498,Danimarka,COUNTRY
499,Darling Harbour,ACTIVITY
500,David Livingstone Müzesi,ACTIVITY
501,Dead Sea,CITY
502,Dead Sea,HIGHLIGHT
503,Dead Sea’de konaklama ve dinlenme,ACTIVITY
504,Delaire Graff,RESTAURANT
505,Delaire Graff Indochine Restaurant,RESTAURANT
506,Delhi,CITY
507,Delhi,HIGHLIGHT
508,Delhi şehir turu,ACTIVITY
509,"Delhi – Varanasi uçuşu (AI406, Air India)",TRANSPORT
510,Designmuseum Danmark,ACTIVITY
511,Deve Gezisi - Piramitler,ACTIVITY
512,Devrim Müzesi ziyareti,ACTIVITY
513,Deyrulzafaran Manastırı ziyareti,ACTIVITY
514,Dijon,CITY
515,Dijon,HIGHLIGHT
516,Doba Restaurant and Terrace,RESTAURANT
517,"Doha – Nairobi uçuşu (QR 1335, Qatar Airways)",TRANSPORT
518,Domaine Rion Armelle et Bernard - Şarap Tadımı,ACTIVITY
519,Domenico Modugno Heykeli - Polignano a Mare,ACTIVITY
520,Dominicans of Santo Domingo,ACTIVITY
521,Douro Nehri,HIGHLIGHT
522,Doğa,HIGHLIGHT
523,Doğu Bahçeler,ACTIVITY
524,Dubai,CITY
525,Dubai,HIGHLIGHT
526,Dubai Autodrome Circuit,ACTIVITY
527,Dubai Creek – Old Town,ACTIVITY
528,Dubai Mall,ACTIVITY
529,Dubai Programı,TRIP
530,Duomo - Noto,ACTIVITY
531,Duomo Meydanı - Ortigia,ACTIVITY
532,Duomo di Napoli,ACTIVITY
533,Duomo di San Giorgio,ACTIVITY
534,EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,TRIP
535,EIFFEL TOWER,ACTIVITY
536,EIXAMPLE HOTEL,HOTEL
537,EUROPE CLASSICS 2025,TRIP
538,EX90,HIGHLIGHT
539,Eat Me Restaurant,RESTAURANT
540,Edfu Tapınağı,ACTIVITY
541,Edinburgh,CITY
542,Efes,CITY
543,Efes Antik Kenti,ACTIVITY
544,Eglise Saint-Jean-Baptiste - Saint-Jean-de-Luz,ACTIVITY
545,El Alamillo Köprüsü,ACTIVITY
546,El Refaei Camii,ACTIVITY
547,El Tajo Kanyonu,ACTIVITY
548,El Tribut,RESTAURANT
549,Elephanta Adası ve Trimurti heykeli ziyareti,ACTIVITY
550,Elhamra,HIGHLIGHT
551,Elhamra Sarayı,ACTIVITY
552,Elhamra Sarayı,HIGHLIGHT
553,Elhamra Sarayı gezisi,ACTIVITY
554,Elkano Restaurant,RESTAURANT
555,Elkano Restoran - Getaria,RESTAURANT
556,Emara Ole Sereni Hotel,HOTEL
557,Emirates EK124,TRANSPORT
558,Endonezya,COUNTRY
559,Endonezya,HIGHLIGHT
560,Endülüs,HIGHLIGHT
561,Endülüs Gezisi,TRIP
562,Endülüs Gezisi - Berrin Zorlu,TRIP
563,Endülüs içi kara transferleri,TRANSPORT
564,Enoteca 1756 Restaurant,RESTAURANT
565,Err Restaurant,RESTAURANT
566,Eski Mardin Evleri ve Abbara tünelleri gezisi,ACTIVITY
567,Eski PTT Binası gezisi,ACTIVITY
568,Estiatorio Milos Dubai,RESTAURANT
569,Etna,CITY
570,Etna,HIGHLIGHT
571,Etna Yanardağı,ACTIVITY
572,Etna Yanardağı gezisi,ACTIVITY
573,FORUM INN,HOTEL
574,FRANCE,COUNTRY
575,FUSHIMI INARI SHRINE,ACTIVITY
576,Fas,COUNTRY
577,Fas,HIGHLIGHT
578,Fas içi transferler,TRANSPORT
579,Ferrari,HIGHLIGHT
580,Ferrari Müzesi ziyareti ve test sürüşü,ACTIVITY
581,Ferrari World,HIGHLIGHT
582,Ferrari World Abu Dhabi – Driving Experience,ACTIVITY
583,Fervor Restaurant,RESTAURANT
584,Fes,CITY
585,Fes,HIGHLIGHT
586,Fikirbayır,ACTIVITY
587,Finlandiya,COUNTRY
588,Finlandiya,HIGHLIGHT
