id,label,name,boost
activity:864785e2,Activity,High Dam,1.0
activity:94ea8928,Activity,Philae Tapınağı,1.0
activity:fb649c99,Activity,Kom Ombo Tapınağı,1.0
activity:4d815b26,Activity,Edfu Tapınağı,1.0
activity:5151bca1,Activity,Luxor East Bank Gezisi,1.0
activity:c6036c89,Activity,Karnak Tapınağı,1.0
activity:002d155d,Activity,Luxor Tapınağı,1.0
activity:69cc7600,Activity,Nil Nehri Sıcak Hava Balonu,1.0
trip:c2ece4e6,Trip,AMALFI TURU 20 – 23 HAZİRAN,1.0
city:f36a22c2,City,Amalfi,1.0
city:a99a00f6,City,Ravello,1.0
city:87407e3d,City,Pompei,1.0
city:81bd8fe3,City,Napoli,1.0
city:25a0f29d,City,Sorrento,1.0
hotel:297e43a0,Hotel,Villa Piedimonte,1.0
hotel:2f8e7540,Hotel,Hotel Rufolo,1.0
activity:cbc4ed2f,Activity,Ravello - Villa Cimbrone Bahçesi,1.0
activity:5f0a9010,Activity,Ravello - Villa Rufolo,1.0
activity:c497c14c,Activity,Pompei Şehri Ziyareti,1.0
activity:37c5c4eb,Activity,Napoli Şehri Gezisi,1.0
activity:d00d8ce4,Activity,Duomo di Napoli,1.0
activity:16fb5c7f,Activity,Il Pio Monte della Misericordia,1.0
activity:8246fad9,Activity,Palazzo Reale,1.0
activity:88b81cd2,Activity,Castel dell’Ovo,1.0
activity:e1c15821,Activity,Amalfi Kasabası Gezisi,1.0
activity:b1e1f4f0,Activity,Cattedrale di Sant’Andrea,1.0
activity:3f475a74,Activity,Piazza Duomo,1.0
activity:f3c06230,Activity,Piazza dei Dogi,1.0
activity:a39c0fd9,Activity,Piazza dello Spirito Santo,1.0
activity:5b8054f5,Activity,Sorrento Gezisi,1.0
activity:aa073889,Activity,Piazza Tasso,1.0
activity:0a8d2f40,Activity,Basilica di Sant’Antonino,1.0
activity:3c965fb7,Activity,Sedile Dominova,1.0
activity:5e59e4d2,Activity,Sorrento Peninsula Arkeoloji Müzesi,1.0
activity:89f03ce9,Activity,Bottega Della Tarsia Lignea Müzesi,1.0
trip:6c28cde7,Trip,LOIRE TURU 20 – 23 NİSAN,1.0
city:68b334d6,City,Loire,1.0
city:3c4dce9a,City,Tours,1.0
city:847ecbcc,City,Amboise,1.0
city:504a995b,City,Blois,1.0
activity:f3b2b83c,Activity,Cheverny Şatosu,1.0
activity:cfbbe128,Activity,Villandry Şatosu,1.0
activity:b37acf9d,Activity,Amboise Şatosu,1.0
activity:4180f5dd,Activity,Château du Clos Lucé,1.0
activity:a23e6f14,Activity,Château de Chenonceau,1.0
activity:44864a8e,Activity,Château de Blois,1.0
activity:2f0fb3e2,Activity,Château de Chambord,1.0
activity:e7db4471,Activity,Loire Vadisi Balon Turu,1.0
activity:96a8de46,Activity,Tours Şehri Gezisi,1.0
restaurant:02db0368,Restaurant,Avarum Restaurant,1.0
restaurant:1d0ca7fa,Restaurant,Restaurante Amour Blanc,1.0
trip:51fa48d3,Trip,BRUGGE & LOIRE TURU 20 – 23 NİSAN,1.0
city:ce908128,City,Brugge,1.0
city:4a09693d,City,Gent,1.0
country:2513f1e6,Country,Belçika,1.0
hotel:a0f85876,Hotel,Hotel De Orangerie,1.0
hotel:eb3ea50b,Hotel,Hotel Van Cleef,1.0
hotel:0559c09a,Hotel,Hotel Heritage Relais Chateau,1.0
hotel:e8d774c3,Hotel,Hotel Dukes' Palace,1.0
activity:750cf5cb,Activity,Brugge Gezisi,1.0
activity:13fabd5c,Activity,Gent Gezisi,1.0
activity:f9dd5bf2,Activity,Clos de Lucé,1.0
activity:45e57fcf,Activity,Loire Vadisi Şarap Bağları,1.0
trip:8da427f6,Trip,AMALFI TURU 20 – 24 HAZİRAN,1.0
activity:d646c53b,Activity,Tam Gün Tekne Gezisi,1.0
trip:b99148a4,Trip,SALZBURG TURU 20 – 25 ARALIK,1.0
city:f2646aa0,City,Salzburg,1.0
city:02c24da9,City,Hallstatt,1.0
city:99bbb76e,City,St Wolfgang,1.0
city:070cc741,City,Berchtesgaden,1.0
country:acdb1cea,Country,Avusturya,1.0
country:5b44d891,Country,Almanya,1.0
hotel:0ab16a8d,Hotel,Radisson Blu Hotel Altstadt,1.0
