id:ID,name,season,date_start,date_end,:LABEL
327,Atlı Kızak Turu (St Wolfgang),,,,Activity
328,Salzburg Kalesi,,,,Activity
329,Adolf Hitler’in Kartal Yuvası,,,,Activity
330,Salzbergwerk Berchtesgaden,,,,Activity
331,Grassl Likör Fabrikası,,,,Activity
332,Cafe Sacher Salzburg,,,,Restaurant
333,Restaurant Blaue Gans Salzburg Gasthaus,,,,Restaurant
334,Radisson Blu Hotel Altstadt,,,,Hotel
335,Hotel Goldener Hirsch,,,,Hotel
336,Hotel Bristol,,,,Hotel
337,BELGRAD TURU 21 – 23 EYLÜL,Sonbahar,2025-09-21,2025-09-23,Trip
338,Belgrad,,,,City
339,Karlofca,,,,City
340,Novi Sad,,,,City
341,Sırbistan,,,,Country
342,Belgrad Şehir Gezisi,,,,Activity
343,Aziz Sava Kilisesi,,,,Activity
344,Kalemegdan,,,,Activity
345,Sokullu Mehmet Paşa Çeşmesi,,,,Activity
346,Damat Ali Paşa Türbesi,,,,Activity
347,Fikirbayır,,,,Activity
348,Stambol Kapısı,,,,Activity
349,Tuna & Sava Nehirlerinin Birleşim Noktası,,,,Activity
350,Museum of Yugoslav History,,,,Activity
351,Royal Compound,,,,Activity
352,Nikola Tesla Müzesi,,,,Activity
353,Karlofca Gezisi,,,,Activity
354,Novi Sad Gezisi,,,,Activity
355,Tuna Nehri Tekne Gezisi,,,,Activity
356,Kalemegdan Restaurant,,,,Restaurant
357,Metropol Palace Hotel,,,,Hotel
358,Square Nine Hotel,,,,Hotel
359,İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,,,,Trip
360,İstanbul,,,,City
361,Kapadokya,,,,City
362,Kuşadası,,,,City
363,İzmir,,,,City
364,Şirince,,,,City
365,Efes,,,,City
366,Türkiye,,,,Country
367,Topkapı Sarayı,,,,Activity
368,Ayasofya,,,,Activity
369,Yerebatan Sarnıcı,,,,Activity
370,Boğaz Turu,,,,Activity
371,Karaköy,,,,Activity
372,Balon Turu,,,,Activity
373,Soğanlı Vadisi,,,,Activity
374,Keşlik Manastırı,,,,Activity
375,Taşkınpaşa Medresesi,,,,Activity
376,Selime Köyü,,,,Activity
377,Agzikarahan Kervansarayı,,,,Activity
378,Ihlara Vadisi,,,,Activity
379,Göreme Açık Hava Müzesi,,,,Activity
