id:ID,name,season,date_start,date_end,:LABEL,id,label,price_usd,value
354.0,Novi Sad Gezisi,,,,Activity,,,,
355.0,Tuna Nehri Tekne Gezisi,,,,Activity,,,,
356.0,Kalemegdan Restaurant,,,,Restaurant,,,,
357.0,Metropol Palace Hotel,,,,Hotel,,,,
358.0,Square Nine Hotel,,,,Hotel,,,,
359.0,İSTANBUL – KAPADOKYA – İZMİR TURU 23 TEMMUZ – 2 AĞUSTOS 2023,,,,Trip,,,,
360.0,İstanbul,,,,City,,,,
361.0,Kapadokya,,,,City,,,,
362.0,Kuşadası,,,,City,,,,
363.0,İzmir,,,,City,,,,
364.0,Şirince,,,,City,,,,
365.0,Efes,,,,City,,,,
366.0,Türkiye,,,,Country,,,,
367.0,Topkapı Sarayı,,,,Activity,,,,
368.0,Ayasofya,,,,Activity,,,,
369.0,Yerebatan Sarnıcı,,,,Activity,,,,
370.0,Boğaz Turu,,,,Activity,,,,
371.0,Karaköy,,,,Activity,,,,
372.0,Balon Turu,,,,Activity,,,,
373.0,Soğanlı Vadisi,,,,Activity,,,,
374.0,Keşlik Manastırı,,,,Activity,,,,
375.0,Taşkınpaşa Medresesi,,,,Activity,,,,
376.0,Selime Köyü,,,,Activity,,,,
377.0,Agzikarahan Kervansarayı,,,,Activity,,,,
378.0,Ihlara Vadisi,,,,Activity,,,,
379.0,Göreme Açık Hava Müzesi,,,,Activity,,,,
380.0,Uçhisar,,,,Activity,,,,
381.0,Kaymaklı Yeraltı Şehri,,,,Activity,,,,
382.0,Kızıl Vadi,,,,Activity,,,,
383.0,Efes Antik Kenti,,,,Activity,,,,
384.0,Hadrian Tapınağı,,,,Activity,,,,
385.0,Odeon,,,,Activity,,,,
386.0,Traian Çeşmesi,,,,Activity,,,,
387.0,Şirince Köyü,,,,Activity,,,,
388.0,Il Cortile Ristorante Pizzeria,,,,Restaurant,,,,
389.0,Pandeli Restaurant,,,,Restaurant,,,,
390.0,Belisirma Nehir Kenarı Restoran,,,,Restaurant,,,,
391.0,Geleneksel Türk Restoranı (Efes),,,,Restaurant,,,,
392.0,EDINBURGH & HIGHLANDS TURU 4 – 8 AĞUSTOS,Yaz,2025-08-04,2025-08-08,Trip,,,,
393.0,Edinburgh,,,,City,,,,
394.0,Pitlochry,,,,City,,,,
395.0,Fort William,,,,City,,,,
396.0,Inverness,,,,City,,,,
397.0,İskoçya,,,,Country,,,,
398.0,Blair Castle,,,,Activity,,,,
399.0,Ballindalloch Castle & Gardens,,,,Activity,,,,
400.0,Camera Obscura & World of Illusions,,,,Activity,,,,
401.0,Loch Ness,,,,Activity,,,,
402.0,Inverness Kalesi,,,,Activity,,,,
403.0,St. Andrews Katedrali,,,,Activity,,,,
404.0,Inverness Müzesi ve Sanat Galerisi,,,,Activity,,,,
405.0,Strathisla Distillery,,,,Activity,,,,
406.0,Nevis Bank Inn and Browns Restaurant,,,,Restaurant,,,,
407.0,Rocpool Restaurant,,,,Restaurant,,,,
408.0,Fonab Castle Hotel,,,,Hotel,,,,
409.0,The Craigellachie Hotel,,,,Hotel,,,,
410.0,Nevis Bank Inn,,,,Hotel,,,,
411.0,Seasgair Hotel,,,,Hotel,,,,
412.0,TAYLAND TURU 5 – 18 ŞUBAT,Kış,2025-02-05,2025-02-18,Trip,,,,
413.0,Chiang Mai,,,,City,,,,
414.0,Chiang Rai,,,,City,,,,
415.0,Tapınaklar ve Şehir Gezisi,,,,Activity,,,,
416.0,Bo Sang Köyü,,,,Activity,,,,
417.0,Wat Chedi Luangis,,,,Activity,,,,
418.0,Wat Suan Dok Tapınağı,,,,Activity,,,,
419.0,Wat Phra That Doi Suthep,,,,Activity,,,,
420.0,Wat Rong Khun,,,,Activity,,,,
421.0,Chiang Rai Gezisi,,,,Activity,,,,
422.0,Golden Triangle Gezisi,,,,Activity,,,,
423.0,Mekong Nehri Tekne Gezisi,,,,Activity,,,,
424.0,Bangkok Şehir Gezisi,,,,Activity,,,,
425.0,Büyük Saray,,,,Activity,,,,
426.0,Wat Phra Kaew,,,,Activity,,,,
427.0,Wat Pho Tapınağı,,,,Activity,,,,
428.0,Wat Ratchabophit,,,,Activity,,,,
429.0,Bangkok Kanalları Gezisi,,,,Activity,,,,
430.0,Chatuchak Weekend Market,,,,Activity,,,,
431.0,Beach Restaurant (The Surin),,,,Restaurant,,,,
432.0,Potong Restaurant,,,,Restaurant,,,,
433.0,Clara Restaurant,,,,Restaurant,,,,
434.0,Kalido,,,,Restaurant,,,,
435.0,Carpe Diem Beach Club,,,,Restaurant,,,,
436.0,Terrace Rim Naam,,,,Restaurant,,,,
437.0,The Surin,,,,Hotel,,,,
438.0,JAPONYA TURU 6 – 13 NİSAN 2024 (SAFFET EMRE),İlkbahar,2024-04-06,2024-04-13,Trip,,,,
439.0,Hakone,,,,City,,,,
440.0,Nara,,,,City,,,,
441.0,Shinjuku Gyoen Park,,,,Activity,,,,
442.0,Senso-ji Tapınağı,,,,Activity,,,,
443.0,Nakamise Alışveriş Caddesi,,,,Activity,,,,
444.0,Meiji Shrine,,,,Activity,,,,
445.0,Takeshita Street,,,,Activity,,,,
446.0,Omotesando,,,,Activity,,,,
447.0,TeamLab Planets,,,,Activity,,,,
448.0,Ginza,,,,Activity,,,,
449.0,Hakone Açık Hava Müzesi,,,,Activity,,,,
450.0,Picasso Pavilion,,,,Activity,,,,
451.0,Hakone Teleferiği,,,,Activity,,,,
452.0,Owakudani Vadisi,,,,Activity,,,,
453.0,Ashinoko Tekne Gezisi,,,,Activity,,,,
454.0,Kiyomizu Tapınağı,,,,Activity,,,,
455.0,Kinkaku-ji,,,,Activity,,,,
456.0,Geisha & Maiko Gösterisi,,,,Activity,,,,
457.0,Nara Park,,,,Activity,,,,
458.0,Kasuga Taisha,,,,Activity,,,,
459.0,Tenryu-ji Tapınağı,,,,Activity,,,,
460.0,Monkey Park Iwatayama,,,,Activity,,,,
461.0,Teshima Yokoo Evi,,,,Activity,,,,
462.0,Mitsui Garden Hotel,,,,Hotel,,,,
463.0,Benesse House,,,,Hotel,,,,
464.0,ARLES TURU 03 – 06 EKİM,Sonbahar,2025-10-03,2025-10-06,Trip,,,,
465.0,Arles,,,,City,,,,
466.0,Avignon,,,,City,,,,
467.0,Les Baux-de-Provence,,,,City,,,,
468.0,L'Isle-sur-la-Sorgue,,,,City,,,,
469.0,LUMA Müzesi,,,,Activity,,,,
470.0,Van Gogh Müzesi,,,,Activity,,,,
471.0,Art Tour,,,,Activity,,,,
472.0,Avignon Gezisi,,,,Activity,,,,
473.0,Chateau Estoublon,,,,Activity,,,,
474.0,Les Baux-de-Provence Gezisi,,,,Activity,,,,
475.0,L'Isle-sur-la-Sorgue Gezisi,,,,Activity,,,,
476.0,Restaurant L'Oriel,,,,Restaurant,,,,
477.0,Café Tadoa Ando,,,,Restaurant,,,,
478.0,La Taula Gallici's Gourmet Restaurant,,,,Restaurant,,,,
479.0,PUGLIA TURU 07 – 11 EKİM,Sonbahar,2025-10-07,2025-10-11,Trip,,,,
480.0,Bari,,,,City,,,,
481.0,Alberobello,,,,City,,,,
482.0,Matera,,,,City,,,,
483.0,Monopoli,,,,City,,,,
484.0,Polignano a Mare,,,,City,,,,
485.0,Lecce,,,,City,,,,
486.0,Alberobello Trulli Evleri,,,,Activity,,,,
487.0,Matera Gezisi,,,,Activity,,,,
488.0,Monopoli Gezisi,,,,Activity,,,,
489.0,Polignano a Mare Gezisi,,,,Activity,,,,
490.0,Lecce Şehir Gezisi,,,,Activity,,,,
491.0,Santa Croce Bazilikası,,,,Activity,,,,
492.0,San Giuseppe Kilisesi,,,,Activity,,,,
493.0,Palazzo dei Celestini,,,,Activity,,,,
494.0,Sant'Oronzo Meydanı,,,,Activity,,,,
495.0,Antik Roma Amfitiyatrosu,,,,Activity,,,,
496.0,Bari Şehir Gezisi,,,,Activity,,,,
497.0,Saint Nicholas Bazilikası,,,,Activity,,,,
498.0,San Sabino Katedrali,,,,Activity,,,,
499.0,Hohenstaufen Kalesi,,,,Activity,,,,
500.0,Old Town,,,,Activity,,,,
501.0,Strada delle Orecchiette,,,,Activity,,,,
